date,value,Flow
12/06/2020,0,66.44
12/06/2020,0,66.119
12/06/2020,0,65.905
12/06/2020,0,65.53
12/06/2020,0,65.264
12/06/2020,0,65.317
12/06/2020,0,64.944
12/06/2020,0.2,64.465
12/06/2020,0.2,64.571
12/06/2020,0.2,64.359
12/06/2020,0,64.041
12/06/2020,0,63.723
12/06/2020,0,63.617
12/06/2020,0,63.353
12/06/2020,0,62.983
12/06/2020,0,62.772
12/06/2020,0.2,62.562
12/06/2020,0,62.194
12/06/2020,0,61.774
12/06/2020,0,61.774
12/06/2020,0,61.355
12/06/2020,0,61.094
12/06/2020,0,60.885
12/06/2020,0.2,60.52
12/06/2020,0,60.104
12/06/2020,0,60
12/06/2020,0,59.896
12/06/2020,0,59.637
12/06/2020,0,59.274
12/06/2020,0,58.964
12/06/2020,0,58.603
12/06/2020,0,58.5
12/06/2020,0,58.242
12/06/2020,0,57.985
12/06/2020,0,57.575
12/06/2020,0,57.575
12/06/2020,0,57.165
12/06/2020,0,56.807
12/06/2020,0,56.603
12/06/2020,0,56.348
12/06/2020,0.2,55.992
12/06/2020,0.4,55.789
13/06/2020,0,55.333
13/06/2020,0,55.131
13/06/2020,0,54.777
13/06/2020,0,54.374
13/06/2020,0,54.173
13/06/2020,0,53.821
13/06/2020,0,53.52
13/06/2020,0,53.27
13/06/2020,0,52.87
13/06/2020,0,52.72
13/06/2020,0,52.422
13/06/2020,0,52.123
13/06/2020,0,51.776
13/06/2020,0,51.528
13/06/2020,0,51.38
13/06/2020,0,51.133
13/06/2020,0,50.985
13/06/2020,0,50.837
13/06/2020,0,51.133
13/06/2020,0,51.182
13/06/2020,0,51.726
13/06/2020,0,52.074
13/06/2020,0,52.621
13/06/2020,0,53.17
13/06/2020,0,53.52
13/06/2020,0,54.475
13/06/2020,0,55.942
13/06/2020,0,58.037
13/06/2020,0,59.688
13/06/2020,0,61.094
13/06/2020,0,62.246
13/06/2020,0,63.089
13/06/2020,0,63.67
13/06/2020,0,64.2
13/06/2020,0,64.625
13/06/2020,0,65.157
13/06/2020,0,66.012
13/06/2020,0,66.333
13/06/2020,0,66.655
13/06/2020,0,66.87
13/06/2020,0,66.709
13/06/2020,0,66.816
13/06/2020,0,66.816
13/06/2020,0,66.709
13/06/2020,0,66.601
13/06/2020,0,66.494
13/06/2020,0,66.387
13/06/2020,0,66.172
13/06/2020,0,66.119
13/06/2020,0,66.012
13/06/2020,0,65.744
13/06/2020,0,65.691
13/06/2020,0,65.477
13/06/2020,0,65.53
13/06/2020,0,65.317
13/06/2020,0,65.05
13/06/2020,0,64.625
13/06/2020,0,64.253
13/06/2020,0,64.147
13/06/2020,0,63.829
13/06/2020,0,63.564
13/06/2020,0,63.3
13/06/2020,0,62.825
13/06/2020,0,62.562
13/06/2020,0,62.351
13/06/2020,0,62.036
13/06/2020,0,61.826
13/06/2020,0,61.512
13/06/2020,0,61.303
13/06/2020,0,61.041
13/06/2020,0,60.885
13/06/2020,0,60.468
13/06/2020,0,60.208
13/06/2020,2.2,60
13/06/2020,1.4,59.637
13/06/2020,0,59.585
13/06/2020,0,59.274
13/06/2020,0,58.809
13/06/2020,0,58.706
13/06/2020,0,58.191
13/06/2020,0,58.037
13/06/2020,0,57.78
13/06/2020,0,57.267
13/06/2020,0,57.063
13/06/2020,0,56.756
13/06/2020,0,56.45
13/06/2020,0,56.196
13/06/2020,0,55.84
13/06/2020,0,55.536
13/06/2020,0,55.333
13/06/2020,0,55.131
13/06/2020,0,54.676
13/06/2020,0,54.173
13/06/2020,0,54.122
13/06/2020,0,53.771
13/06/2020,0,53.47
