date,value,Flow
20/12/2015,0,40.752
20/12/2015,0,40.936
20/12/2015,0,40.661
20/12/2015,0,40.523
20/12/2015,0,40.569
20/12/2015,0,40.34
20/12/2015,0,40.248
20/12/2015,0,39.974
20/12/2015,0,39.882
20/12/2015,0,39.381
20/12/2015,0,39.2
20/12/2015,0,39.063
20/12/2015,0,38.701
20/12/2015,0,38.385
20/12/2015,0,38.16
20/12/2015,0,37.531
20/12/2015,0,37.397
20/12/2015,0,37.04
20/12/2015,0,36.951
20/12/2015,0,36.639
20/12/2015,0,36.24
20/12/2015,0,35.798
20/12/2015,0,35.798
20/12/2015,0,35.402
20/12/2015,0,35.094
20/12/2015,0,34.875
20/12/2015,0,34.395
20/12/2015,0,34.352
20/12/2015,0,34.004
20/12/2015,0,33.83
20/12/2015,0,33.571
20/12/2015,0,33.528
21/12/2015,0,33.139
21/12/2015,0,32.839
21/12/2015,0,32.667
21/12/2015,0,32.496
21/12/2015,0,32.197
21/12/2015,0,32.154
21/12/2015,0,31.728
21/12/2015,0,31.601
21/12/2015,0,31.389
21/12/2015,0,31.178
21/12/2015,0,30.925
21/12/2015,0,30.925
21/12/2015,0,30.589
21/12/2015,0,30.463
21/12/2015,0,30.463
21/12/2015,0,30.17
21/12/2015,0,29.961
21/12/2015,0,29.836
21/12/2015,0,29.587
21/12/2015,0,29.587
21/12/2015,0,29.421
21/12/2015,0,29.421
21/12/2015,0,29.255
21/12/2015,0,29.131
21/12/2015,0,28.883
21/12/2015,0,28.801
21/12/2015,0,28.677
21/12/2015,0,28.636
21/12/2015,0,28.513
21/12/2015,0,28.349
21/12/2015,0,28.267
21/12/2015,0,28.226
21/12/2015,0,27.981
21/12/2015,0,27.94
21/12/2015,0,27.777
21/12/2015,0,27.818
21/12/2015,0,27.696
21/12/2015,0,27.737
21/12/2015,0,27.696
21/12/2015,0,27.452
21/12/2015,0,27.331
21/12/2015,0,27.29
21/12/2015,0,27.493
21/12/2015,0.2,27.29
21/12/2015,0.6,27.29
